Continent,Country,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,Severe
North America,Costa Rica,18975,162,3724.887,31.801,5094114,96.079,33.6,9.468,15524.995,137.973,8.78,6.4,17.4,1.13,80.28,No
Africa,Cote d'Ivoire,16182,102,613.459,3.867,26378275,76.399,18.7,2.933,3601.006,303.74,2.42,,,,57.78,No
Europe,Croatia,5260,149,1281.281,36.295,4105268,73.726,44,19.724,22669.797,253.782,5.59,34.3,39.9,5.54,78.49,No
North America,Cuba,2646,87,233.609,7.681,11326616,110.408,43.1,14.738,,190.968,8.27,17.1,53.3,5.2,78.8,No
North America,Curacao,29,1,176.722,6.094,164100,362.644,41.7,16.367,,,11.62,,,,78.88,No
Europe,Cyprus,1150,19,1312.937,21.692,875899,127.657,37.3,13.416,32415.132,141.171,9.24,19.6,52.7,3.4,80.98,No
Europe,Czech Republic,16800,384,1568.777,35.858,10708982,137.176,43.3,19.027,32605.906,227.485,6.82,30.5,38.3,6.63,79.38,No
Africa,Democratic Republic of Congo,9114,214,101.763,2.389,89561404,35.879,17,3.02,808.133,318.949,6.1,,,,60.68,No
Europe,Denmark,13789,615,2380.614,106.177,5792203,136.52,42.3,19.677,46682.515,114.767,6.41,19.3,18.8,2.5,80.9,No
Africa,Djibouti,5161,59,5223.674,59.716,988002,41.285,25.4,4.213,2705.406,258.037,6.05,1.7,24.5,1.4,67.11,No
North America,Dominica,18,0,250.031,0,71991,98.567,,,9673.367,227.376,11.62,,,3.8,75,No
North America,Dominican Republic,72243,1178,6659.628,108.592,10847904,222.873,27.6,6.981,14600.861,266.653,8.2,8.5,19.1,1.6,74.08,Yes
