,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
70,137100,140000,142200,140400,143800,142300,147400,148700,155200,165900,174000,178700,184100,186500,189900,191900,195500,199900,201600,202100,199109,200406,203484,204167,201278,189273,173257,153439,160254,239021,227783,218002,206707,204896,204130,205840,203033,199802,201648,204830,207508,205381,201562,200775,207837,211213,215511,220151,220470,218362,205293,224297,247788,263763,261077,265988,342389,311407,292274,280574
71,128300,130000,131600,134600,132700,133900,134700,138300,139600,146600,158900,163900,168600,173800,176400,179500,181900,185200,189800,191900,192709,189284,190812,194036,194669,191904,179836,165815,146998,153274,228781,218433,209244,198647,197066,196331,198249,196140,192870,195125,198637,200991,199280,195551,195198,202399,205955,210482,215268,215878,213326,200748,219739,242951,258815,256203,261018,336190,305799,286766
72,120300,120600,122100,123900,126700,124000,126500,126000,129100,130700,135100,148600,153800,158200,163300,165900,169100,171500,174900,179500,181408,181963,179266,181127,184151,184671,182059,171300,158456,140241,146082,218191,208855,199986,190344,188735,188453,190404,188691,185725,188619,191897,194064,192798,189534,189324,196974,200678,205043,210306,210743,208210,196033,214787,237729,253538,250823,255554,329666,299409
73,112000,112500,112300,114800,115500,117200,115900,118000,117100,119900,122300,125600,138400,142800,148000,152800,155400,158300,161000,164400,169108,170183,171027,169024,171072,173801,174808,172199,162767,150536,133355,139699,207521,199106,190747,181587,180301,180406,182328,180903,178649,181466,184709,187068,186380,183274,183727,191519,195002,199612,204846,205492,202883,191355,209777,232113,247530,245020,249941,321844
74,102900,103600,104300,104900,106800,106900,109000,106500,109000,108000,111800,113200,116200,127900,132300,137200,142000,144700,147200,150600,153107,157817,159164,160249,158502,160688,163638,164843,162451,153737,142501,126261,133032,196098,189017,181100,172798,171841,171980,173877,173347,171154,173905,177346,180201,179695,177131,178003,185674,189149,193751,199403,199948,197747,186225,204353,226153,241234,239106,243321
75,94700,94300,95300,96600,96700,97000,98400,99800,98000,100600,101100,102800,104100,106900,117700,122000,126800,131200,133900,136700,138481,142096,146533,148251,149388,147710,149984,153269,154908,152451,144722,134096,119018,125915,184904,178728,171323,163777,162843,163238,165622,165258,163385,166314,170327,173077,173180,170751,171994,179778,183057,187953,193453,194301,191900,180829,198416,219625,234760,231914
76,86000,88300,85600,87500,89000,87500,89200,89500,91500,89300,92500,92300,93900,95100,97500,107800,111700,116300,120400,123700,126683,127636,131291,135552,137137,138016,137118,139612,143048,144504,142647,135499,125741,111354,119014,173377,168285,161797,154628,153875,154920,157080,156858,155486,158593,162894,165914,166362,164076,165735,173479,176899,181474,187466,187969,185826,175091,192021,212840,226838
77,77700,77300,82900,77800,79700,79400,80000,81200,81400,82800,82300,84300,83500,85300,86600,88600,98000,101500,105800,110200,112685,116017,116970,120572,124514,125809,127544,126685,129476,132552,134293,132433,125512,116891,103859,111948,161732,158048,151793,145232,145303,145953,148230,148367,147594,150991,155321,158531,159196,157163,159253,166896,170323,175147,180530,181256,179249,168807,185570,204712
78,69700,69400,68800,78100,70200,71100,72300,71800,73600,73000,74800,74100,75900,75100,76800,77800,80100,88300,91700,96100,100086,102195,105234,106471,109965,113419,115545,117017,116376,119165,122225,123753,122234,116257,108334,96199,104951,150434,147510,141519,136230,136242,136965,139499,139816,139570,143167,147670,150985,152185,150085,152591,159936,163634,168014,173197,173997,172046,162379,177728
79,61800,62000,61100,61400,71600,59800,63700,64500,64500,66000,65400,66800,66000,68000,67000,68600,69800,71700,78900,82200,86686,90066,92090,95067,96257,99177,103550,105319,106810,106148,108863,112081,113668,112302,106867,99646,88775,98315,138666,136997,131977,126959,127002,127982,130563,131501,131641,135242,139686,143291,144716,143232,145477,152992,156098,160674,165480,166392,164663,154368
